,candidate feature,bronkolom(men),rationale vanuit EDA,verwacht effecttype,aanbevolen transformatie,risico op leakage,opnemen in forecast track?,opnemen in policy track?,opmerkingen
0,"hour_sin, hour_cos",hour,Sterke intradagstructuur en 24u-seizoenscomponent in EDA 02/06.,"cyclisch, niet-lineair",sin/cos encoding met periode 24,laag,ja,ja,"basisfeature, geen tuningafhankelijkheid"
1,"weekday_sin, weekday_cos",weekday_int,Wekelijkse periodiciteit (168u) is duidelijk (EDA 02).,cyclisch,sin/cos encoding met periode 7,laag,ja,ja,combineer met weekendindicator
2,is_weekend,weekday_int,"Dagtypeverschillen zijn zichtbaar, vooral in combinatie met events.",niveau-shift / interactief,binaire indicator,laag,ja,ja,niet als enige dagtypefeature gebruiken
3,"month_sin, month_cos",month,Seizoenseffecten en jaar-maandvariatie aangetoond (EDA 02/04).,seizoensgebonden,sin/cos encoding met periode 12,laag,ja,ja,complementair met season-categorie
4,season,month,Weather-effecten zijn seizoensafhankelijk (EDA 04/06).,interactie-modulator,categorische encoding,laag,ja,ja,nodig voor weather x season
5,"occupancy_rate_lag_1h, lag_24h, lag_168h",occupancy_rate (historisch),"Hoge autocorrelatie op 24u en 168u, sterk voorspellend (EDA 02).","autoregressief, sterk",strict past-only lags per parking,hoog indien fout geimplementeerd,ja,nee,policy track expliciet zonder occupancy-lags
6,"rolling_mean_3h, 6h, 24h",occupancy_rate (historisch),Stabiliteits- en regimecomponenten aanwezig (EDA 01/02).,smoothing / trend,causale rolling windows per parking,hoog bij centered windows,ja,nee,alleen met left-closed windows
7,rolling_std_24h,occupancy_rate (historisch),Volatiliteit verschilt per parking/regime (EDA 01/05).,regime-indicator,causale rolling std per parking,hoog bij lookahead,ja,nee,handig voor piekregimes
8,is_event_day,is_event_day,Eventeffecten zijn segmentafhankelijk maar relevant (EDA 04/06).,drempelmatig / interactief,binaire indicator,laag mits eventkalender ex ante bekend,ja,ja,event x tier en event x hour aanbevolen
9,event_type_flags,"is_football_day, is_sport_day, is_festival_day, ...",Effecten verschillen per eventtype (EDA 04).,heterogeen,multi-hot binaire features,laag-middel (afhankelijk van kalenderbeschikbaarheid),ja,ja,sparse types eventueel clusteren
10,event_scale_max_binned,event_scale_max,Eventimpact schaalt niet strikt lineair met eventomvang.,niet-lineair,ordinale bins (small/medium/large),middel,ja,ja,binranden train-only bepalen
11,n_concurrent_events_capped,n_concurrent_events,Gelijktijdige events kunnen gecombineerde druk verhogen (EDA 04).,monotoon of saturerend,capping + mogelijk spline,middel,ja,ja,kwaliteit eventfeed monitoren
12,football_kickoff_proximity,"football_kickoff_hour, rounded_hour",Voor/na-eventprofielen zijn belangrijker dan daggemiddelden (EDA 04).,asymmetrisch rond eventtijd,lead/lag vensterfeatures in uren,middel,ja,ja,alleen indien kickofftijd vooraf beschikbaar
13,holiday_family_flags,"is_any_holiday, is_national_holiday, is_other_holiday",Holidayeffecten bestaan maar verschillen per segment (EDA 04/06).,niveau + interactie,binaire flags + eventueel hiërarchische codering,laag,ja,ja,niet enkel aggregate holiday gebruiken
14,is_school_vacation,is_school_vacation,Effect aanwezig maar minder stabiel dan eventeffect.,drempelmatig / interactief,binaire indicator,laag,ja,ja,regelmatig in sensitiviteitsanalyse
15,weather_temp_spline,temp_c,Temperatuureffect is seizoens- en regimeafhankelijk (EDA 04/06).,niet-lineair,restricted cubic spline of quantile bins,laag,ja,ja,combineer met season-interactie
16,weather_precip_bins,precip_mm,"Neerslageffect zwak lineair, mogelijk drempelmatig (EDA 04).",drempel/saturatie,droog/licht/matig/sterk bins,laag,ja,ja,incl. precip_imputed als contextflag
17,weather_wind_spline,"wind_speed_ms, wind_gusts_ms",Windeffect relatief robuust in meerdere segmenten (EDA 04).,mogelijk niet-lineair,spline/bins + high-wind threshold,laag,ja,ja,gusts als extra stressor
18,weather_sun_humidity,"sun_duration_min, humidity_pct",Sun/humidity-signalen zijn contextafhankelijk (EDA 04).,"niet-lineair, interactief",z-score per maand + bins,laag,ja,ja,met kwaliteitssignalen monitoren
19,tier_temporal,parking_location_category,Centrum vs randverschillen zijn consistent (EDA 03/06).,structurele heterogeniteit,binaire/categorische encoding,laag,ja,ja,basis voor meerdere interacties
20,parking_id (entity encoding),parking_id,Sterke parking-specifieke heterogeniteit (EDA 01/03).,entity baseline,one-hot of target encoding (train-only),middel bij target encoding,ja,ja,target encoding enkel met leakage-safe schema
21,capacity_utilization_context,"total_capacity, number_of_spaces_override",Capaciteit en piekdruk zijn beleidsrelevant (EDA 01/03).,normalisatie / saturatiecontext,ratio- en drempelfeatures,laag,ja,ja,bewaak capaciteitsschommelingen
22,centrum_pressure_lagged,aggregated occupancy_rate centrum (historisch),Indicaties van spillover/saturatiegedrag (EDA 03).,systeeminteractie,lagged aggregate pressure indices,middel,ja,voorzichtig,enkel causaal opgebouwd in tijd
23,"event_x_tier, holiday_x_tier",event/holiday flags + tier_temporal,Interactieverschillen zijn empirisch ondersteund (EDA 06).,interactie,expliciete multiplicatieve termen,laag,ja,ja,prioritair in beide tracks
24,weather_x_season,weather vars + season,Sterke seizoensmodulatie van weatherdrivers (EDA 04/06).,"interactie, niet-lineair",interactietermen of season-specifieke spline,laag,ja,ja,niet reduceren tot 1 globale weathercoef
25,event_x_hour,is_event_day + hour,Eventeffect varieert sterk over uren (EDA 06).,tijdsafhankelijke interactie,event * (hour_sin/hour_cos) of event-time-bins,laag,ja,ja,beter dan enkel event dagflag
