,source_notebook,section,point_id,statement
0,eda_00_protocol_and_data_audit.ipynb,## Data audit conclusions,1,"De data zijn bruikbaar als EDA-basis, met sterk vergelijkbare schema's tussen shortterm en longterm. Er zijn geen evidente fysisch onmogelijke occupancy-waarden, maar wel duidelijke operationele kwaliteitsrisico's (vooral `flag_frozen_sensor`, en in shortterm ook `low_data_coverage`/`system_blackout`/`partial_year`). Coverage is bovendien heterogeen per parking, met uitgesproken fragmentatie voor bepaalde reeksen."
1,eda_00_protocol_and_data_audit.ipynb,## Risks for interpretation,1,"Tijdsfragmentatie kan trend- en seizoensinterpretaties vertekenen, zelfs wanneer alle uren (0-23) voorkomen."
2,eda_00_protocol_and_data_audit.ipynb,## Risks for interpretation,2,"Hoge missingness in naamvelden (holiday/event labels) is grotendeels structureel, maar kan foutief behandeld worden als random missingness."
3,eda_00_protocol_and_data_audit.ipynb,## Risks for interpretation,3,Parking-specifieke coverageverschillen (bv. `P Tinel` longterm) verhogen het risico op selectiebias in cross-parking vergelijkingen.
4,eda_00_protocol_and_data_audit.ipynb,## Risks for interpretation,4,Frozen-sensor flags impliceren mogelijk meetplateaus; analyses die op korte-termijnvariatie steunen zijn hiervoor gevoelig.
5,eda_00_protocol_and_data_audit.ipynb,## Implications for downstream EDA and feature engineering,1,Bouw elke volgende notebook met dual reporting: `full_descriptive` + `strict_inference`.
6,eda_00_protocol_and_data_audit.ipynb,## Implications for downstream EDA and feature engineering,2,"Voeg kwaliteitsflags expliciet toe als features en/of filtercriteria, en rapporteer hun prevalentie systematisch."
7,eda_00_protocol_and_data_audit.ipynb,## Implications for downstream EDA and feature engineering,3,"Gebruik coverage-metadata (gaps, observatievolume per parking) als randvoorwaarde bij interpretatie en modelvalidatie."
8,eda_00_protocol_and_data_audit.ipynb,## Implications for downstream EDA and feature engineering,4,Vermijd leakage door kwaliteitssignalen enkel te gebruiken wanneer ze ook operationeel beschikbaar zijn op voorspeltijdstip.
9,eda_01_global_descriptives.ipynb,## Key findings,1,`occupancy_rate` is descriptief de meest consistente vergelijkingsmaat tussen datasets en parkings.
10,eda_01_global_descriptives.ipynb,## Key findings,2,"Shortterm bevat een dynamischer bezettingsprofiel dan longterm, met relatief zwaarder piekgedrag."
11,eda_01_global_descriptives.ipynb,## Key findings,3,Parkingniveau-heterogeniteit is groot; aggregatie op globaal niveau maskeert relevante verschillen.
12,eda_01_global_descriptives.ipynb,## Key findings,4,Locatie en jaar dragen zichtbare descriptieve structuur die later hypothese-gedreven moet worden uitgediept.
13,eda_01_global_descriptives.ipynb,## Implications for feature engineering,1,"Gebruik `occupancy_rate` als hoofdtarget, maar rapporteer altijd aanvullende piekfeatures (bijv. `% uren >= 0.9`, `q95`, `q99`)."
14,eda_01_global_descriptives.ipynb,## Implications for feature engineering,2,"Voeg stabiliteitsfeatures toe (bijv. gemiddelde absolute uurverandering, regime-indicatoren voor plotse sprongen)."
15,eda_01_global_descriptives.ipynb,## Implications for feature engineering,3,"Maak parking-specifieke baselinefeatures (historisch gemiddelde, spreiding, piekindex) in plaats van enkel globale features."
16,eda_01_global_descriptives.ipynb,## Implications for feature engineering,4,Neem noemercontext op: capaciteit en eventuele capaciteitswijzigingen als expliciete features/flags.
17,eda_01_global_descriptives.ipynb,## Implications for feature engineering,5,Overweeg niet-lineaire transformaties of bounded-target-benaderingen bij modelkeuze door de ratio-eigenschappen van de target.
18,eda_02_temporal_patterns.ipynb,## Key findings,1,"De data tonen duidelijke daily en weekly temporal structuur, met sterke signalen rond 24u en 168u."
19,eda_02_temporal_patterns.ipynb,## Key findings,2,Tijdsdynamiek verschilt tussen shortterm en longterm; uniforme tijdsbehandeling is dus risicovol.
20,eda_02_temporal_patterns.ipynb,## Key findings,3,"Jaarverschillen zijn substantieel en beïnvloeden niveau, piekgedrag en profielvergelijking."
21,eda_02_temporal_patterns.ipynb,## Key findings,4,"Seizoensdifferentiatie maakt stationariteitstests consistenter, wat nuttig is voor latere modeldiagnostiek."
22,eda_02_temporal_patterns.ipynb,## Implications for feature engineering,1,Prioriteer cyclische tijdsfeatures en seizoenslags als basisset.
